AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$53,998"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$6,844"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$34,111"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$88,277"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$27,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$12,524"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$28,939"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,SOUTH CAROLINA DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/6/2025,"$301,341"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"NATIONAL FOUNDATION FOR THE CDC,INC",Private Non-Profit - Other Special Interest Organization,3/6/2025,$703
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"NATIONAL FOUNDATION FOR THE CDC,INC",Private Non-Profit - Other Special Interest Organization,3/6/2025,"$44,687"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"NATIONAL FOUNDATION FOR THE CDC,INC",Private Non-Profit - Other Special Interest Organization,3/6/2025,"$103,469"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"NATIONAL FOUNDATION FOR THE CDC,INC",Private Non-Profit - Other Special Interest Organization,3/6/2025,"$37,650"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"NATIONAL FOUNDATION FOR THE CDC,INC",Private Non-Profit - Other Special Interest Organization,3/6/2025,"$619,124"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"NATIONAL FOUNDATION FOR THE CDC,INC",Private Non-Profit - Other Special Interest Organization,3/6/2025,"$2,017"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,$330
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$5,523"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$52,524"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$5,281"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$1,100"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$6,911"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$30,617"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$8,144"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$1,216"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$200,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/6/2025,"$6,577"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$9,918"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$84,779"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$3,356,735"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$98,847"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$79,680"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$50,265"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,$377
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$53,305"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$89,442"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,$146
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$26,710"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,"$6,230"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TX DEPT OF STATE HEALTH SERVICES,State - Health Department,3/6/2025,$120
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$12,608"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$15,530"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$31,775"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$75,281"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$19,462"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$44,090"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$11,484"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$10,930"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$47,252"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$9,003"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$32,949"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ST LOUIS COUNTY DIVISION OF PUBLIC HEALTH,County - Health Department,3/6/2025,"$77,966"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NY ST DEPT OF HEALTH,State - Social Services Department,3/6/2025,"$150,447"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NY ST DEPT OF HEALTH,State - Social Services Department,3/6/2025,"$41,843"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Wright House Wellness Center,Private Non-Profit - Other Social Services Organization,3/6/2025,"$14,486"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,SOUTHERN PLAINS TRIBAL HEALTH BOARD FOUNDATION,"Other(Towns,Villages,Amer Indian Tribe)-Hosp/Clinic/HlthCtr/Inst/Mental Hlth Ctr",3/6/2025,$405
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,SOUTHERN PLAINS TRIBAL HEALTH BOARD FOUNDATION,"Other(Towns,Villages,Amer Indian Tribe)-Hosp/Clinic/HlthCtr/Inst/Mental Hlth Ctr",3/6/2025,"$15,160"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Departamento De Salud Oficial,State - Other Health Organization,3/6/2025,"$34,375"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Departamento De Salud Oficial,State - Other Health Organization,3/6/2025,"$1,110"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Departamento De Salud Oficial,State - Other Health Organization,3/6/2025,"$2,200"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Departamento De Salud Oficial,State - Other Health Organization,3/6/2025,"$46,790"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,THE INFECTIOUS DISEASES INSTITUTE LIMITED,"Foreign Profit - Research Institution, Foundation, Laboratory",3/6/2025,"$5,683"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,THE INFECTIOUS DISEASES INSTITUTE LIMITED,"Foreign Profit - Research Institution, Foundation, Laboratory",3/6/2025,"$7,681"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Wisconsin Department of Health Services.,State - Health Department,3/6/2025,"$9,545"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Health, Pennsylvania Department Of",State - Other Health Organization,3/6/2025,"$60,774"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NOXUBEE COUNTY ACTIVITY LEAGUE,Public Non-Profit - Other Social Services Organization,3/6/2025,$272
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",State - Health Department,3/6/2025,"$6,319"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",State - Health Department,3/6/2025,"$10,576"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",State - Health Department,3/6/2025,"$138,705"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",State - Health Department,3/6/2025,"$105,865"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",State - Health Department,3/6/2025,$41
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",State - Health Department,3/6/2025,"$29,834"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST BUREAU OF FIELD SERVICES,State - Other Social Services Organization,3/6/2025,$47
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST BUREAU OF FIELD SERVICES,State - Other Social Services Organization,3/6/2025,"$17,922"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST BUREAU OF FIELD SERVICES,State - Other Social Services Organization,3/6/2025,"$321,467"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$53,252"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$178,842"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$34,473"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$38,710"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$9,300"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$13,753"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$3,424"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$44,793"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$94,370"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$14,389"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$48,201"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$7,393"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$15,822"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$5,164"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$1,084"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$11,646"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$68,398"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AZ ST DEPARTMENT OF HEALTH SERVICES,State - Health Department,3/6/2025,"$105,556"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AL ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/5/2025,"$2,834,747"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$1,213"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,$193
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,$380
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$23,442"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,$30
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$127,115"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$54,777"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$203,363"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,$28
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$6,353"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ARKANSAS DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,$408
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF ARKANSAS SYSTEM,State - Other Health Organization,3/5/2025,"$21,141"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF ARKANSAS SYSTEM,State - Other Health Organization,3/5/2025,"$65,970"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF ARKANSAS SYSTEM,State - Other Health Organization,3/5/2025,"$42,109"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF ARKANSAS SYSTEM,State - Other Health Organization,3/5/2025,$156
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,HARRIS COUNTY CHILDREN'S PROTECTIVE SERVICES,Public Non-Profit - Other Social Services Organization,3/5/2025,"$137,886"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,HARRIS COUNTY CHILDREN'S PROTECTIVE SERVICES,Public Non-Profit - Other Social Services Organization,3/5/2025,"$104,958"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"BALTIMORE COUNTY HEALTH DEPT, PUBLIC HEALTH NURSES SVCS",County - Health Department,3/5/2025,"$141,220"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,BRONXCARE HEALTH SYSTEM,"Private Non-Profit - Hospital, Clinic, Health Ctr, Instit, Mental Health Ctr",3/5/2025,"$29,124"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$18,915"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$49,324"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$53,796"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$40,647"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$55,544"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,$725
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$141,506"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$56,063"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$4,664"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$38,742"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$9,920"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS","State - University, College, Jr. College",3/5/2025,"$1,883"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$15,784"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$8,555"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$61,709"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$27,432"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$26,687"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$21,552"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$148,624"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$66,247"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$14,138"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$96,173"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$1,919"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$37,543"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$83,428"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$36,931"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$12,743"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$88,673"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$35,981"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$75,609"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$8,046"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/5/2025,"$61,470"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/5/2025,"$27,323"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/5/2025,"$290,436"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/5/2025,"$14,033"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/5/2025,"$19,148"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/5/2025,"$102,875"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HOUSTON AREA CMNTY SERVICES, INC","Public Non-Profit - Hospital, Clinic, Health Ctr, Institution, Mental Health Ctr",3/5/2025,"$11,847"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,THE CHEROKEE NATION,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/5/2025,$128
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,THE CHEROKEE NATION,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/5/2025,"$6,359"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,THE CHEROKEE NATION,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/5/2025,$736
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",State - Social Services Department,3/5/2025,"$39,547"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/5/2025,"$50,552"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/5/2025,"$1,041,431"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/5/2025,"$2,215,630"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/5/2025,$108
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/5/2025,"$15,058"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/5/2025,$88
